company_name,city,pincode,locality,Sub_Locality,Address,Building_Name,Landmarks,StdCode,telephone1,telephone2,telephone3,mobile,Mobile2,Mobile3,Tollfreenumber,ptc_name,Email,Email1,CompanyEmail,Website,level1,level2,level3
Ambica Steel Enterprises,Vadodara,390014,Makarpura,GIDC Estate,910,,,265,2642968,2581572,9376218648,9428881153,,NULL,NULL,Ratilal,,,,,Metals & Minerals,Iron Steel & Ferro-Alloys,Carbon Steel & Carbon Steel Products
Orbitz Corporate & Leisure Travels India Pvt Ltd,Vadodara,390001,Tilak Road,,,2nd Floor Midway Heights,Near Next To Kirti Towers,265,2424533,2424534,2424535,9327402706,,NULL,NULL,Jigar Shah,,,info@orbit-star.com,www.orbit-star.com,Travel & Tourism,Tourist Needs & Services,Travel Bureaus
Kapis Engineers Pvt Ltd,Vadodara,390014,Makarpura,GIDC Estate,883-3,,,265,6599590,,,9909975705,,NULL,NULL,Amar Chand,,,,,Air Conditioning and Refrigeration,Air Conditioning & Refrigeration Equipments,Dehumidifiers
Puneet Engineers,Vadodara,390014,Makarpura,Industrial Estate,879/3,Madhuvan Society,,265,2644434,2280359,,9825056013,9426272279,NULL,NULL,Gopal Soni,,,info@puneetengineers.com,www.puneetengineers.com,Sports & Hobbies,Sporting Equipment & Supplies,Playground Equipment
Swami Plast Industries,Vadodara,390014,Makarpura,GIDC  Estate,748/ 2,,,265,3049125,6533125,,9825063425,,NULL,NULL,Sanjay Shukla,,,,,Packaging & Printing,Packaging Machinery,Packaging Machines- Multi Range
Burner India,Vadodara,390001,Tilak Road,GIDC,I/208 B,,Near Dediyasan Mehsana,265,,,,9825279389,NULL,NULL,NULL,,,,,,Office Equipment & Supplies,Pantry & Canteen,Burners
Chiranjeev Children Hospital,Vadodara,390019,Ajwa Road,Navneet Park,9,,Near Ayurvedic Teen Rasta,265,2560621,3029715,,9376230613,,NULL,NULL,Parimal Bhatt,,,,,Health & Beauty,Speciality Hospitals,Hospitals- Child Care
Allchem Laboratories ,Vadodara,390022,Dena,,31,Nageshwar Society,Near Manek Park,265,2483348,,,9824514842,NULL,NULL,NULL,Rajeev,,,,NULL,Chemicals,Chemicals- Organic,Acids- Organic
Pooja Hardware,Vadodara,390011,Manjalpur,,B/ 6,Surhara Complex,Near Saraswati Complex,265,,,,9427033603,,NULL,NULL,Praveen Bhai,,,pooja_hardware@epages.webindia.com,,"Building, Construction & Real Estate",Wood & Wood Products,"Plywood, Veneers & Laminates"
Ishan Equipments,Vadodara,391350,GIDC Industrial Estate,"G I D C Industrial Estate, Ranoli,",404/405,,Behind L & T Niro,265,2308589,,,9825011389,NULL,NULL,NULL,,,,,,Consultants & Professionals,Engineer,Engineers- Fabrication
Elmrad Corporation,Vadodara,390010,Vadsar,GIDC  Markarpura Industrial Estate,C 1/419,,,265,2642731,5599531,,9898611717,,NULL,NULL,Jay Shah,,,,,Industrial Equipments & Machinery,Industrial Machinery Parts,Gears & Gear Boxes
Gunait Industries,Vadodara,390010,Vadsar,Gidc Estate Makarpura Industrial Estate,746 7 B,,,265,2642355,,,9824262721,,NULL,NULL,,,,,,Environment,Cleaning Equipments- Indl,Pollution Control Equipment
Patel Furnances & Forging Pvt Ltd,Vadodara,390010,Vadsar,"GIDC Estate, Makarpura",A/2-510,,,265,2644864,2640406,,9824038602,NULL,NULL,NULL,,,,,,Industrial Supplies & Services,Manufacturing Material & Supplies,Forgings
Harsh Industrial Services,Vadodara,390023,Subhanpura,Vardhman Comple,F-18,,,265,,,,9825059629,9879526434,NULL,NULL,Vijay,,,,,Food & Beverage,Kitchen Equipment & Supplies (Hotels / Restaurants),Syrup Pumps
Ref Vac Consultancy,Vadodara,390023,Atmajyoti Ashram Road,Ratnam Park,A/13,,Near Amin Party Plot,265,2332192,,,9824095317,NULL,NULL,NULL,,,,,,Chemicals,Chemicals- Speciality & Indl,Chemicals- Pharmaceutical
Super Cryogenic Systems Pvt Ltd,Vadodara,391775,Manjusar,G I D C,35,,Manjusar,2667,4625500,,,9811089578,,NULL,NULL,Prakash Rajotia,,,mail@supercryo.com,www.supercryo.com,Chemicals,Chemicals- Organic,Gases & Elements- Organic
Airro Engineering Co,Vadodara,390002,Channi Naka,Sitaram Super Market,37,,Opposite Baroda Pakaging,265,2777340,,,9825306668,,NULL,NULL,J P Sharma,airroenggco@rediffmail.com,,airroenggco@gmail.com,www.airroengg.com,Industrial Supplies & Services,Manufacturing Material & Supplies,Pigments
Forsberg Agritech India Company,Vadodara,390014,Makarpura,GIDC Estate,123,,,265,3098127,6590584,2636752,9825072483,,NULL,NULL,Anil V Thakore,,,,,Consultants & Professionals,Consultants- Agriculture & Horticulture ,Consultants- Agricultural 
Vrushabh Belting Pvt Ltd,Vadodara,390015,R C Dutt Road,Akshar Chowk,333,Abhishek Complex,,265,2352283,2352284,2333497,9824030769,9427506125,NULL,NULL,Nilesh,marketing@vrushabhtranscon.com,,vpbl@vrushabhtranscon.com,www.vrushabhtranscon.com,Industrial Equipments & Machinery,Industrial Machinery Parts,Conveyor Belts
Deziners Lab Furniture,Vadodara,390023,Subhanpura,Subhanpura Main Road,903 A,Vardhman Complex,,265,2386386,2386603,,9824097511,,NULL,NULL,Nagesh,,,,,Furniture & Furnishing,Furniture Specialty & Customized,Laboratory Furniture
Palvi Power Tech Sales,Vadodara,390002,Fatehgunj,Arpan Complex Nizampura,No. 228,,,265,2781001,,,9825031036,,NULL,NULL,Himanshu Mehta,,,,,Chemicals,Chemicals- Speciality & Indl,Chemicals- Agricultural
Best Technocrat India Pvt Ltd,Vadodara,391740,Mansarovar Complex,,57,,Opposite Chhani Gurudwara,265,6541938,2762435,9825073795,9824045123,NULL,NULL,NULL,Gautham,,,besttechnocrat@yahoo.co.in,www.besttechnocrat.com,Industrial Equipments & Machinery,Industrial Machinery Parts,Welding Equipments & Supplies
Multicut Machine Tools,Vadodara,390014,Makarpura,GIDC,B-359-360,,Near Hanumanji Temple,265,2640809,2643587,2645585,9879611699,,,,Raman Patel,,,sales@multicutmachines.com,www.multicutmachines.com,Industrial Equipments & Machinery,Tools,Machine Tools & Parts
Guru Technology Services,Vadodara,390023,Gotri,"Rajesh Tower Road, Devkinandan Society",3,,,265,2397015,,,9824001075,,NULL,NULL,Vasudev S,,,,,Industrial Equipments & Machinery,Production Process Machinery & Equipments,Filters & Filter Equipments
India Plastic Associates,Vadodara,390005,Productivity Road,NULL,306,Kailash Complex,,265,6624645,2320571,,9825082727,NULL,NULL,NULL,H M Panchal,,,,,Industrial Supplies & Services,Manufacturing Material & Supplies,Dyes & Dyestuff
Ambica Steel Enterprises,Vadodara,390014,Makarpura,GIDC Estate,910,,,265,2642968,2581572,9376218648,9428881153,,NULL,NULL,Ratilal,,,,,Metals & Minerals,Iron Steel & Ferro-Alloys,Carbon Steel & Carbon Steel Products
Orbitz Corporate & Leisure Travels India Pvt Ltd,Vadodara,390001,Tilak Road,,,2nd Floor Midway Heights,Near Next To Kirti Towers,265,2424533,2424534,2424535,9327402706,,NULL,NULL,Jigar Shah,,,info@orbit-star.com,www.orbit-star.com,Travel & Tourism,Tourist Needs & Services,Travel Bureaus
Kapis Engineers Pvt Ltd,Vadodara,390014,Makarpura,GIDC Estate,883-3,,,265,6599590,,,9909975705,,NULL,NULL,Amar Chand,,,,,Air Conditioning and Refrigeration,Air Conditioning & Refrigeration Equipments,Dehumidifiers
Puneet Engineers,Vadodara,390014,Makarpura,Industrial Estate,879/3,Madhuvan Society,,265,2644434,2280359,,9825056013,9426272279,NULL,NULL,Gopal Soni,,,info@puneetengineers.com,www.puneetengineers.com,Sports & Hobbies,Sporting Equipment & Supplies,Playground Equipment
Swami Plast Industries,Vadodara,390014,Makarpura,GIDC  Estate,748/ 2,,,265,3049125,6533125,,9825063425,,NULL,NULL,Sanjay Shukla,,,,,Packaging & Printing,Packaging Machinery,Packaging Machines- Multi Range
Burner India,Vadodara,390001,Tilak Road,GIDC,I/208 B,,Near Dediyasan Mehsana,265,,,,9825279389,NULL,NULL,NULL,,,,,,Office Equipment & Supplies,Pantry & Canteen,Burners
Chiranjeev Children Hospital,Vadodara,390019,Ajwa Road,Navneet Park,9,,Near Ayurvedic Teen Rasta,265,2560621,3029715,,9376230613,,NULL,NULL,Parimal Bhatt,,,,,Health & Beauty,Speciality Hospitals,Hospitals- Child Care
